sentence_type,item_id,minusF_minusG1_minusG2,minusF_minusG1_plusG2,minusF_plusG1_minusG2,minusF_plusG1_plusG2,plusF_minusG1_minusG2,plusF_minusG1_plusG2,plusF_plusG1_minusG2,plusF_plusG1_plusG2,P1_filler_requires_gap,P2_pg_vs_simple_extraction,P3_pg_requires_filler,P4_pg_requires_host_gap
subject_pg_full,1,9.29540678,25.52769527,11.09084941,24.63574761,10.41187095,23.18840565,11.44854545,26.39843674,-15.98656579,3.21003109,-1.76268913,-14.94989129
subject_pg_full,2,12.10602342,27.30544325,15.07660464,25.83294645,13.54812551,23.50059909,16.06683301,25.50369315,-11.95556764,2.00309406,0.32925330,-9.43686014
subject_pg_full,3,18.86743878,26.36907934,17.08559499,24.77493595,21.62094778,26.95995818,17.47871497,26.56651216,-4.94556438,-0.39344602,-1.79157621,-9.08779719
subject_pg_full,4,18.07632109,21.74692536,19.32482505,21.96013405,21.28948571,22.79079746,20.67976529,22.78399515,-1.49450944,-0.00680231,-0.82386110,-2.10422986
subject_pg_full,5,26.37962400,21.97915165,22.77912173,22.03975206,29.82631334,21.19753699,23.80184824,21.39539252,8.43092082,0.19785553,0.64435954,2.40645572
subject_pg_full,6,27.12763108,23.41679438,27.45243656,22.35609036,28.33001785,20.40678718,26.22638093,19.38386879,8.94614906,-1.02291839,2.97222157,6.84251214
subject_pg_full,7,13.43659797,20.89836821,15.00244290,20.27916494,20.96023818,15.95923248,16.63594302,17.42630186,3.53393632,1.46706938,2.85286308,-0.79035884
subject_pg_full,8,17.75626641,26.34356528,18.28237113,25.16050197,20.82492493,21.86292526,19.32778691,21.84552780,-1.02060287,-0.01739746,3.31497417,-2.51774089
subject_pg_full,9,29.60230176,20.67999179,28.34532196,20.96950894,29.40503196,16.86771775,27.71977516,18.05487255,11.35015941,1.18715480,2.91463639,9.66490261
subject_pg_full,10,23.15931515,26.36043327,21.41814237,24.86197951,21.89543495,24.40491785,19.33474214,23.96408651,-2.06865156,-0.44083134,0.89789300,-4.62934437
