sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP
subject_gap,1,20.55230029,23.03160779,23.89836742,25.40158785
subject_gap,2,19.61956044,25.91635442,19.04349663,19.00034995
subject_gap,3,19.83665863,21.37627969,22.85203265,23.01564004
subject_gap,4,18.75133646,23.16402699,26.25569505,25.54243961
subject_gap,5,21.39539252,21.97915165,23.80184824,26.37962400
subject_gap,6,19.38386879,23.41679438,26.22638093,27.12763108
subject_gap,7,17.42630186,20.89836821,16.63594302,13.43659797
subject_gap,8,21.84552780,26.34356528,19.32778691,17.75626641
subject_gap,9,18.05487255,20.67999179,27.71977516,29.60230176
subject_gap,10,23.96408651,26.36043327,19.33474214,23.15931515
