sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
subject_gap,1,20.55230029,23.03160779,23.89836742,25.40158785,3.34606713,2.36998006,0.97608707,True,True
subject_gap,2,19.61956044,25.91635442,19.04349663,19.00034995,-0.57606381,-6.91600447,6.33994066,False,True
subject_gap,3,19.83665863,21.37627969,22.85203265,23.01564004,3.01537402,1.63936035,1.37601367,True,True
subject_gap,4,18.75133646,23.16402699,26.25569505,25.54243961,7.50435859,2.37841262,5.12594597,True,True
subject_gap,5,21.39539252,21.97915165,23.80184824,26.37962400,2.40645572,4.40047235,-1.99401663,True,False
subject_gap,6,19.38386879,23.41679438,26.22638093,27.12763108,6.84251214,3.71083670,3.13167544,True,True
subject_gap,7,17.42630186,20.89836821,16.63594302,13.43659797,-0.79035884,-7.46177024,6.67141140,False,True
subject_gap,8,21.84552780,26.34356528,19.32778691,17.75626641,-2.51774089,-8.58729887,6.06955798,False,True
subject_gap,9,18.05487255,20.67999179,27.71977516,29.60230176,9.66490261,8.92230997,0.74259264,True,True
subject_gap,10,23.96408651,26.36043327,19.33474214,23.15931515,-4.62934437,-3.20111812,-1.42822625,False,False
